Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Homme,Célibataire,0,Qualifié,Employé en CDI,5849,0.0,128.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,4583,1508.0,128.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Entrepreneur,3000,0.0,66.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,2583,2358.0,120.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,6000,0.0,141.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,2333,1516.0,95.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,4006,1526.0,168.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,3200,700.0,70.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,2500,1840.0,109.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,1853,2840.0,114.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,4950,0.0,125.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,4887,0.0,133.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,2600,3500.0,115.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3717,2925.0,151.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,0,Qualifié,Entrepreneur,9560,0.0,191.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2799,2253.0,122.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,4226,1040.0,110.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,1442,0.0,35.0,360.0,1.0,Urbain,Rejeté
Femme,Célibataire,2,Qualifié,Employé en CDI,3750,2083.0,120.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,4166,3369.0,201.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,3167,0.0,74.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,1,Qualifié,Entrepreneur,4692,0.0,106.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,3500,1667.0,114.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2275,2067.0,128.0,360.0,1.0,Urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,3667,1459.0,144.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,3748,1668.0,110.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3600,0.0,80.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,1800,1213.0,47.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2400,0.0,75.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3941,2336.0,134.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Entrepreneur,4695,0.0,96.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,3410,0.0,88.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,5649,0.0,44.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5821,0.0,144.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,4000,2275.0,144.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,0,Non qualifié,Employé en CDI,1928,1644.0,100.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,3086,0.0,120.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,4230,0.0,112.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,2,Qualifié,Employé en CDI,4616,0.0,134.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,2,Qualifié,Employé en CDI,2708,1167.0,97.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2132,1591.0,96.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3366,2200.0,135.0,360.0,1.0,Rural,Rejeté
Homme,Marié,1,Qualifié,Employé en CDI,8080,2250.0,180.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,3357,2859.0,144.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2500,3796.0,120.0,360.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,3029,0.0,99.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5726,4595.0,258.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,3208,3066.0,172.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Non qualifié,Entrepreneur,1875,1875.0,97.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Entrepreneur,5266,1774.0,187.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3750,4750.0,176.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,1,Qualifié,Entrepreneur,1000,3022.0,110.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,3 ou +,Non qualifié,Entrepreneur,3333,2166.0,130.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,3846,0.0,111.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Entrepreneur,2395,0.0,128.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,2,Qualifié,Employé en CDI,1378,1881.0,167.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,2366,2531.0,136.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,3333,2000.0,99.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2500,2118.0,104.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,8566,0.0,210.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5695,4167.0,175.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2958,2900.0,131.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,3273,1820.0,81.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,4133,0.0,122.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,6782,0.0,128.0,360.0,1.0,Urbain,Rejeté
Femme,Marié,0,Qualifié,Employé en CDI,2484,2302.0,137.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,1977,997.0,50.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,1759,3541.0,131.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,4843,3806.0,151.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,4652,3583.0,128.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3816,754.0,160.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3052,1030.0,100.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,7333,0.0,120.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,5316,0.0,136.0,360.0,1.0,Urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,2929,2333.0,139.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,1,Qualifié,Entrepreneur,7451,0.0,128.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,5050,0.0,118.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,3167,2283.0,154.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,2214,1398.0,85.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5568,2142.0,175.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,5667,2667.0,180.0,360.0,1.0,Rural,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,4166,0.0,44.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,2957,0.0,81.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,4300,2014.0,194.0,360.0,1.0,Rural,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,3692,0.0,93.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3865,1640.0,128.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,6080,2569.0,182.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,2014,1929.0,74.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2718,0.0,70.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,4895,0.0,102.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,4583,0.0,84.0,360.0,1.0,Rural,Rejeté
Homme,Marié,2,Qualifié,Entrepreneur,3316,3500.0,88.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,4200,1430.0,129.0,360.0,1.0,Rural,Rejeté
Homme,Marié,2,Qualifié,Employé en CDI,5042,2083.0,185.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,5417,0.0,168.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2698,2034.0,122.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,2330,4486.0,100.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,1538,1425.0,30.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,10000,1666.0,225.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,4860,830.0,125.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Entrepreneur,2577,3750.0,152.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,9166,0.0,244.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,2,Non qualifié,Employé en CDI,2281,0.0,113.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,3254,0.0,50.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,6000,0.0,160.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,9538,0.0,187.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2980,2083.0,120.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,4583,5625.0,255.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,1863,1041.0,98.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,4167,1447.0,158.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3707,3166.0,182.0,360.0,1.0,Rural,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,4583,0.0,112.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,2439,3333.0,129.0,360.0,1.0,Rural,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,8000,0.0,200.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,1820,1769.0,95.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5708,5625.0,187.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Entrepreneur,4344,736.0,87.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,3497,1964.0,116.0,360.0,1.0,Rural,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,2045,1619.0,101.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3750,0.0,116.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,1916,5063.0,67.0,360.0,1.0,Rural,Rejeté
Femme,Marié,0,Qualifié,Employé en CDI,3625,0.0,108.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2383,2138.0,58.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Entrepreneur,674,5296.0,168.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,4885,0.0,48.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,6033,0.0,160.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,3858,0.0,76.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,4191,0.0,120.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3125,2583.0,170.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,8333,3750.0,187.0,360.0,1.0,Rural,Accepté
Femme,Célibataire,0,Non qualifié,Employé en CDI,1907,2365.0,120.0,360.0,1.0,Urbain,Accepté
Femme,Marié,0,Qualifié,Employé en CDI,3416,2816.0,113.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Non qualifié,Employé en CDI,2600,2500.0,90.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Non qualifié,Employé en CDI,3500,1083.0,135.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,3917,0.0,124.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,0,Non qualifié,Employé en CDI,4408,0.0,120.0,360.0,1.0,Semi-urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,3244,0.0,80.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,3975,2531.0,55.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2479,0.0,59.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3418,0.0,127.0,360.0,1.0,Semi-urbain,Rejeté
Femme,Célibataire,0,Qualifié,Employé en CDI,10000,0.0,214.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,1,Qualifié,Entrepreneur,7787,0.0,240.0,360.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Non qualifié,Entrepreneur,5703,0.0,130.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3173,3021.0,137.0,360.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Non qualifié,Employé en CDI,3850,983.0,100.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,150,1800.0,135.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,3727,1775.0,131.0,360.0,1.0,Semi-urbain,Accepté
Femme,Marié,2,Qualifié,Employé en CDI,4283,2383.0,127.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,4009,1717.0,116.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2971,2791.0,144.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,7578,1010.0,175.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,6250,0.0,128.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3250,0.0,170.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Non qualifié,Entrepreneur,4735,0.0,138.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,2,Qualifié,Employé en CDI,6250,1695.0,210.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Entrepreneur,6400,0.0,200.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,2491,2054.0,104.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,3189,2598.0,120.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3155,1779.0,140.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,5500,1260.0,170.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,5746,0.0,255.0,360.0,1.0,Urbain,Rejeté
Femme,Célibataire,0,Qualifié,Entrepreneur,3463,0.0,122.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,1,Qualifié,Employé en CDI,3812,0.0,112.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,3315,0.0,96.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,5819,5000.0,120.0,360.0,1.0,Rural,Accepté
Homme,Marié,2,Qualifié,Entrepreneur,6250,1300.0,108.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,3406,4417.0,123.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,9703,0.0,112.0,360.0,1.0,Urbain,Accepté
