Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Homme,Marié,1,Qualifié,Employé en CDI,12841,10968.0,349.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Célibataire,3 ou +,Qualifié,Employé en CDI,12500,3000.0,320.0,360.0,1.0,Rural,Rejeté
Femme,Marié,1,Qualifié,Entrepreneur,11500,0.0,286.0,360.0,0.0,Urbain,Rejeté
Homme,Marié,1,Qualifié,Employé en CDI,10750,0.0,312.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,13650,0.0,128.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,11417,1126.0,225.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,14583,0.0,185.0,180.0,1.0,Rural,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,10408,0.0,259.0,360.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,23803,0.0,370.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Entrepreneur,10513,3850.0,160.0,180.0,0.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Entrepreneur,20166,0.0,650.0,480.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,14999,0.0,242.0,360.0,0.0,Semi-urbain,Rejeté
Homme,Marié,2,Qualifié,Employé en CDI,11757,0.0,187.0,180.0,1.0,Urbain,Accepté
Femme,Marié,2,Qualifié,Employé en CDI,14866,0.0,70.0,360.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,39999,0.0,600.0,180.0,0.0,Semi-urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,51763,0.0,700.0,300.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,33846,0.0,260.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,0,Qualifié,Entrepreneur,39147,4750.0,120.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,12000,0.0,164.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Célibataire,0,Qualifié,Entrepreneur,11000,0.0,83.0,360.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Entrepreneur,16250,0.0,192.0,360.0,0.0,Urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,14683,2100.0,304.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,11146,0.0,136.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,14583,0.0,436.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,20667,0.0,128.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,20233,0.0,480.0,360.0,1.0,Rural,Rejeté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,15000,0.0,300.0,360.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,63337,0.0,490.0,180.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,19730,5266.0,570.0,360.0,1.0,Rural,Rejeté
Femme,Célibataire,0,Qualifié,Entrepreneur,15759,0.0,55.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,81000,0.0,360.0,360.0,0.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,14880,0.0,96.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,12876,0.0,405.0,360.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Entrepreneur,10416,0.0,187.0,360.0,0.0,Urbain,Rejeté
Homme,Célibataire,1,Qualifié,Employé en CDI,37719,0.0,152.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,16692,0.0,110.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Entrepreneur,16525,1014.0,150.0,360.0,1.0,Rural,Accepté
Homme,Marié,1,Qualifié,Entrepreneur,16667,2250.0,86.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,10833,0.0,234.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,18333,0.0,500.0,360.0,1.0,Urbain,Rejeté
Femme,Célibataire,0,Non qualifié,Entrepreneur,17263,0.0,225.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,20833,6667.0,480.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,1,Qualifié,Employé en CDI,13262,0.0,40.0,360.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Entrepreneur,17500,0.0,400.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,1,Qualifié,Employé en CDI,11250,0.0,196.0,360.0,1.0,Semi-urbain,Rejeté
Femme,Célibataire,0,Non qualifié,Entrepreneur,18165,0.0,125.0,360.0,1.0,Urbain,Accepté
Femme,Marié,1,Qualifié,Entrepreneur,19484,0.0,600.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,16666,0.0,275.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Entrepreneur,16120,0.0,260.0,360.0,1.0,Urbain,Accepté
Femme,Marié,1,Qualifié,Employé en CDI,12000,0.0,496.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,3073,8106.0,200.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,4166,7210.0,184.0,360.0,1.0,Urbain,Accepté
Femme,Célibataire,0,Qualifié,Employé en CDI,2137,8980.0,137.0,360.0,0.0,Semi-urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,4000,7750.0,290.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,5516,11300.0,495.0,360.0,0.0,Semi-urbain,Rejeté
Homme,Marié,1,Qualifié,Employé en CDI,6400,7250.0,180.0,360.0,0.0,Urbain,Rejeté
Homme,Marié,1,Non qualifié,Employé en CDI,2661,7101.0,279.0,180.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2625,6250.0,187.0,360.0,1.0,Rural,Accepté
Homme,Marié,2,Qualifié,Entrepreneur,9323,7873.0,380.0,300.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2500,20000.0,103.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Entrepreneur,1600,20000.0,239.0,360.0,1.0,Urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,7333,8333.0,175.0,300.0,1.0,Rural,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,2130,6666.0,70.0,180.0,1.0,Semi-urbain,Rejeté
Homme,Marié,2,Qualifié,Entrepreneur,7948,7166.0,480.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,1836,33837.0,90.0,360.0,1.0,Urbain,Rejeté
Femme,Célibataire,3 ou +,Qualifié,Employé en CDI,416,41667.0,350.0,180.0,1.0,Urbain,Rejeté
Homme,Marié,2,Qualifié,Entrepreneur,5417,4196.0,267.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,5955,5625.0,315.0,360.0,1.0,Urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,6000,2250.0,265.0,360.0,1.0,Semi-urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,7933,0.0,275.0,360.0,1.0,Urbain,Rejeté
Femme,Célibataire,0,Qualifié,Employé en CDI,8333,0.0,280.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,6083,4250.0,330.0,360.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Entrepreneur,8666,4983.0,376.0,360.0,0.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,8750,4167.0,308.0,360.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,5941,4232.0,296.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,9504,0.0,275.0,360.0,1.0,Rural,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,5815,3666.0,311.0,360.0,1.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,6133,3906.0,324.0,360.0,1.0,Urbain,Accepté
Homme,Célibataire,3 ou +,Qualifié,Entrepreneur,9357,0.0,292.0,360.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,1299,1086.0,17.0,120.0,1.0,Urbain,Accepté
Homme,Célibataire,1,Non qualifié,Employé en CDI,3596,0.0,100.0,240.0,1.0,Urbain,Accepté
Homme,Marié,0,Non qualifié,Entrepreneur,2609,3449.0,165.0,180.0,0.0,Rural,Rejeté
Homme,Célibataire,0,Non qualifié,Employé en CDI,3200,2254.0,126.0,180.0,0.0,Urbain,Rejeté
Homme,Marié,3 ou +,Non qualifié,Entrepreneur,7100,0.0,125.0,60.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3500,0.0,81.0,300.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,3750,0.0,113.0,480.0,1.0,Urbain,Rejeté
Homme,Marié,3 ou +,Qualifié,Employé en CDI,3167,4000.0,180.0,300.0,0.0,Semi-urbain,Rejeté
Homme,Marié,1,Qualifié,Employé en CDI,3988,0.0,50.0,240.0,1.0,Urbain,Accepté
Homme,Marié,2,Qualifié,Employé en CDI,6250,5654.0,188.0,180.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Non qualifié,Employé en CDI,3620,0.0,25.0,120.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Non qualifié,Employé en CDI,4188,0.0,115.0,180.0,1.0,Semi-urbain,Accepté
Homme,Marié,2,Non qualifié,Employé en CDI,4288,3263.0,133.0,180.0,1.0,Urbain,Accepté
Homme,Marié,3 ou +,Non qualifié,Employé en CDI,2071,754.0,94.0,480.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Entrepreneur,3459,0.0,25.0,120.0,1.0,Semi-urbain,Accepté
Homme,Célibataire,0,Qualifié,Entrepreneur,6950,0.0,175.0,180.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,9323,0.0,75.0,180.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Employé en CDI,2237,0.0,63.0,480.0,0.0,Semi-urbain,Rejeté
Homme,Marié,3 ou +,Non qualifié,Employé en CDI,3522,0.0,81.0,180.0,1.0,Rural,Rejeté
Homme,Célibataire,0,Non qualifié,Employé en CDI,2333,1451.0,102.0,480.0,0.0,Urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,4600,0.0,73.0,180.0,1.0,Semi-urbain,Accepté
Homme,Marié,1,Qualifié,Entrepreneur,2178,0.0,66.0,300.0,0.0,Rural,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,9328,0.0,188.0,180.0,1.0,Rural,Accepté
Homme,Marié,3 ou +,Non qualifié,Employé en CDI,3992,0.0,128.0,180.0,1.0,Urbain,Rejeté
Homme,Marié,0,Qualifié,Employé en CDI,4758,0.0,158.0,480.0,1.0,Semi-urbain,Accepté
Homme,Marié,0,Qualifié,Employé en CDI,3716,0.0,42.0,180.0,1.0,Rural,Accepté
Homme,Marié,1,Non qualifié,Employé en CDI,2510,1983.0,140.0,180.0,1.0,Urbain,Rejeté
Homme,Célibataire,0,Qualifié,Employé en CDI,2965,5701.0,155.0,60.0,1.0,Urbain,Accepté
Homme,Célibataire,0,Qualifié,Entrepreneur,6050,4333.0,120.0,180.0,1.0,Urbain,Rejeté
Homme,Marié,1,Non qualifié,Employé en CDI,6608,0.0,137.0,180.0,1.0,Urbain,Accepté
Homme,Marié,1,Qualifié,Employé en CDI,2882,1843.0,123.0,480.0,1.0,Semi-urbain,Accepté
